name,city,state,website,wikipedia,type_of_activity,latitude,longitude,distance
Hooters,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.425369,-111.939766,15
Solo Cafe,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.377823,-111.938568,15
Tempe,Tempe,Arizona,http://www.macayo.com/location/tempe-depot-cantina/,https://en.wikipedia.org/wiki/Tempe%20station%20%28Arizona%29,"restaurants,foods,tourist_facilities",33.427814,-111.943344,15
Corleone's Cheesesteaks,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.426235,-111.939934,15
Rock-N-Roll Fingers,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.40678,-111.924461,15
First Watch,Tempe,Arizona,https://www.firstwatch.com/locations/asu,,"restaurants,foods,tourist_facilities",33.421581,-111.941658,15
ThaiTini,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.414474,-111.925056,15
Chompie's,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.422394,-111.919914,15
Ra Sushi Bar Restaurant,Tempe,Arizona,https://rasushi.com,,"restaurants,foods,tourist_facilities",33.426075,-111.939919,15
Sweet Tomatoes,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.393589,-111.914894,15
Flame Broil,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.407143,-111.965462,15
Cafe Rio,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.379002,-111.928925,15
Bosa Donuts,Tempe,Arizona,https://www.cravindonuts.com/,,"restaurants,foods,tourist_facilities",33.377941,-111.940567,15
Delicious Factory,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.425869,-111.940178,15
Restaurant Mexico,Tempe,Arizona,http://restaurantmexico.menutoeat.com,,"restaurants,foods,tourist_facilities",33.425915,-111.939949,15
YC's Mongolian BBQ,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.394871,-111.909554,15
Four Peaks Brewing Company,Tempe,Arizona,https://www.fourpeaks.com/;http://www.fourpeaks.com/,https://en.wikipedia.org/wiki/Four%20Peaks%20Brewery,"restaurants,foods,biergartens,tourist_facilities",33.419666,-111.915703,15
House of Tricks,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.423515,-111.937347,15
The Baked Bear,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.42572,-111.940155,15
D.P. Dough,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.421101,-111.925018,15
Buffalo Wild Wings,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.423637,-111.92585,15
Juba,Tempe,Arizona,,,"restaurants,foods,tourist_facilities",33.421196,-111.924706,15
